sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
43,0.2,9,2,4|8,2011_09_26_drive_0056_0000000014|2011_09_26_drive_0056_0000000018,3,2|4|8,2011_09_26_drive_0056_0000000012|2011_09_26_drive_0056_0000000014|2011_09_26_drive_0056_0000000018,0.667,1.0,1.615,0
45,0.2,13,3,2|5|11,2011_09_26_drive_0057_0000000331|2011_09_26_drive_0057_0000000334|2011_09_26_drive_0057_0000000340,3,2|5|11,2011_09_26_drive_0057_0000000331|2011_09_26_drive_0057_0000000334|2011_09_26_drive_0057_0000000340,1.0,1.0,0.354,0
46,0.2,15,3,3|7|14,2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000018|2011_09_26_drive_0059_0000000032,3,3|7|14,2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000018|2011_09_26_drive_0059_0000000032,1.0,1.0,0.701,0
47,0.2,19,4,1|10|12|13,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000024|2011_09_26_drive_0059_0000000028|2011_09_26_drive_0059_0000000030,3,1|10|12,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000024|2011_09_26_drive_0059_0000000028,1.0,0.75,0.512,0
48,0.2,19,4,1|4|6|9,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000013|2011_09_26_drive_0059_0000000016|2011_09_26_drive_0059_0000000022,3,1|4|6,2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000013|2011_09_26_drive_0059_0000000016,1.0,0.75,1.348,0
49,0.2,13,3,6|9|10,2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000072|2011_09_26_drive_0059_0000000074,3,6|9|10,2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000072|2011_09_26_drive_0059_0000000074,1.0,1.0,0.682,0
50,0.2,13,3,3|8|9,2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000070|2011_09_26_drive_0059_0000000072,3,3|8|9,2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000070|2011_09_26_drive_0059_0000000072,1.0,1.0,0.542,0
51,0.2,13,3,0|5|10,2011_09_26_drive_0059_0000000055|2011_09_26_drive_0059_0000000064|2011_09_26_drive_0059_0000000074,3,0|5|10,2011_09_26_drive_0059_0000000055|2011_09_26_drive_0059_0000000064|2011_09_26_drive_0059_0000000074,1.0,1.0,1.396,0
52,0.2,11,2,3|7,2011_09_26_drive_0059_0000000350|2011_09_26_drive_0059_0000000358,3,3|7|8,2011_09_26_drive_0059_0000000350|2011_09_26_drive_0059_0000000358|2011_09_26_drive_0059_0000000360,0.667,1.0,3.396,0
54,0.2,13,3,5|8|10,2011_09_26_drive_0061_0000000173|2011_09_26_drive_0061_0000000176|2011_09_26_drive_0061_0000000178,3,5|8|10,2011_09_26_drive_0061_0000000173|2011_09_26_drive_0061_0000000176|2011_09_26_drive_0061_0000000178,1.0,1.0,0.374,0
